EmployeeID,BaseSalary,Bonus,VariablePay
E0000001,4910317,307109,76389
E0000002,1096629,475701,84611
E0000003,1731441,475324,483307
E0000004,4905464,569400,314519
E0000005,1418131,612778,55073
E0000006,2209034,690972,491338
E0000007,2749332,19001,374312
E0000008,4586657,72332,403493
E0000009,2319138,405449,75120
E0000010,3011844,404816,196492
E0000011,4380228,349473,89369
E0000012,4746845,42602,498886
E0000013,903311,298713,495297
E0000014,2327005,226834,172242
E0000015,3842666,181239,445538
E0000016,1001163,210001,229411
E0000017,2282238,730231,65768
E0000018,2706424,182374,404958
E0000019,3125053,151580,437638
E0000020,4570508,259832,143231
E0000021,3904711,228187,32654
E0000022,4923909,107951,457252
E0000023,2919972,631801,292396
E0000024,1198880,563860,464540
E0000025,792250,582780,219267
E0000026,3772498,17272,404459
E0000027,3586714,661061,168218
E0000028,2021355,501086,491395
E0000029,1416570,690909,38020
E0000030,1941763,775577,476057
E0000031,989625,666626,453341
E0000032,3405052,561149,316062
E0000033,1285657,678817,436530
E0000034,4033123,416655,448874
E0000035,2033613,298280,246025
E0000036,4249343,305056,57259
E0000037,2029740,148608,422138
E0000038,3622399,742825,404472
E0000039,919379,638200,378104
E0000040,887303,416393,248327
E0000041,4539411,539391,479009
E0000042,1209149,352374,347663
E0000043,1668364,581142,455929
E0000044,4765271,325405,122356
E0000045,2056194,35070,497966
E0000046,1104085,590610,425551
E0000047,4240688,387062,458685
E0000048,2836683,615219,87075
E0000049,3782495,304379,127092
E0000050,4286628,431404,453812
E0000051,4552647,295193,372656
E0000052,4391122,43256,265903
E0000053,4928505,751738,123362
E0000054,2304480,270250,309041
E0000055,2077562,99197,55359
E0000056,4832940,714268,44441
E0000057,1115909,14757,46675
E0000058,2184442,189227,26482
E0000059,4721150,307021,159688
E0000060,326163,253045,144281
E0000061,2779478,17846,127407
E0000062,551439,198257,267068
E0000063,3547643,51744,94037
E0000064,2901062,55688,227456
E0000065,3954713,601290,87724
E0000066,3915119,397441,45896
E0000067,919522,142034,424860
E0000068,3264671,200253,132246
E0000069,1415156,52215,468034
E0000070,1447608,551762,462371
E0000071,3268606,334027,243906
E0000072,4143195,105070,92014
E0000073,1101814,229012,60638
E0000074,3050656,326795,199529
E0000075,4970170,390455,331504
E0000076,1913157,101949,417142
E0000077,1683408,757363,461568
E0000078,779145,437096,112457
E0000079,4341808,547955,289070
E0000080,1651192,141577,191766
E0000081,2772595,619117,127443
E0000082,1028306,662481,335663
E0000083,3881093,733663,133029
E0000084,1256338,630164,203684
E0000085,2690041,122653,237843
E0000086,2669453,404212,258063
E0000087,3493135,774372,334068
E0000088,3139782,123298,183724
E0000089,2971350,546267,327521
E0000090,2816693,136758,243673
E0000091,3785311,253815,400734
E0000092,1007372,725039,200833
E0000093,4188450,379606,147810
E0000094,3558625,612334,166991
E0000095,619919,31061,478920
E0000096,3262012,567732,334741
E0000097,845576,598534,247683
E0000098,829812,603940,111978
E0000099,4064518,239767,348470
E0000100,4989217,80321,368294
E0000101,3821199,732585,172405
E0000102,4836542,586175,88638
E0000103,766561,422215,53303
E0000104,3527184,329371,54708
E0000105,1380290,737727,412991
E0000106,2998803,330037,77493
E0000107,896141,698751,477056
E0000108,1188790,77375,457192
E0000109,638825,644620,448054
E0000110,3918771,366477,34854
E0000111,3310408,440050,115918
E0000112,2375942,86862,57901
E0000113,2236234,473669,364486
E0000114,341381,498824,233258
E0000115,2385306,289174,7275
E0000116,1509336,565414,180591
E0000117,4944451,566521,111327
E0000118,3014787,55077,310702
E0000119,1211534,112407,216560
E0000120,4015378,285147,340022
E0000121,3766347,699271,62914
E0000122,2056806,462695,235816
E0000123,3037186,616773,332878
E0000124,2236713,595694,429404
E0000125,3814336,40772,491614
E0000126,779201,231230,446918
E0000127,3449653,121725,164104
E0000128,692585,57006,177052
E0000129,983723,515346,385968
E0000130,542182,61923,91868
E0000131,1972121,610269,434682
E0000132,3559459,161873,475103
E0000133,4122252,563713,275187
E0000134,2969997,31049,53269
E0000135,1215983,15923,377993
E0000136,4466761,565968,155026
E0000137,4757024,337209,9897
E0000138,645180,119524,269210
E0000139,998149,497038,143620
E0000140,867287,36161,142028
E0000141,3303095,497436,89062
E0000142,3619537,250299,272364
E0000143,3876829,510164,353389
E0000144,3404373,509093,462172
E0000145,563044,658932,416441
E0000146,1261754,690392,99615
E0000147,406547,475483,256001
E0000148,2330249,24193,55202
E0000149,3507423,129191,198421
E0000150,422873,756160,292749
E0000151,2589324,769962,479165
E0000152,392214,782617,395974
E0000153,573885,191178,95256
E0000154,4787258,460170,310798
E0000155,1932996,130391,25499
E0000156,1933799,633172,306051
E0000157,4760363,629053,192466
E0000158,4446480,519973,6559
E0000159,4623340,262622,33566
E0000160,2024982,168303,20542
E0000161,3896501,592395,342066
E0000162,1353689,372419,313132
E0000163,3619943,139415,433737
E0000164,4068325,519306,318489
E0000165,3908555,543358,75828
E0000166,3198216,774660,172503
E0000167,2887463,95650,133880
E0000168,1256481,579348,18687
E0000169,3666284,628701,401081
E0000170,1319755,293676,146543
E0000171,1512681,643278,313172
E0000172,3836685,154770,170579
E0000173,4013767,157418,175174
E0000174,536157,241200,466922
E0000175,697925,316146,392083
E0000176,2576193,384019,248399
E0000177,4658220,420114,89787
E0000178,764725,229105,66443
E0000179,1627279,776158,159873
E0000180,3797633,233773,42967
E0000181,392400,686293,324888
E0000182,3439033,241085,199137
E0000183,2726338,687960,376364
E0000184,1891163,273855,279552
E0000185,3044370,154907,362669
E0000186,3944643,577725,175135
E0000187,4105127,637170,142452
E0000188,4819883,210936,325173
E0000189,3789247,180375,171518
E0000190,3573686,595686,320255
E0000191,2354539,231264,451918
E0000192,4175105,401538,318502
E0000193,2116614,558157,367244
E0000194,499616,502211,80793
E0000195,4073720,752915,282703
E0000196,2858597,87760,314812
E0000197,4207877,774283,290386
E0000198,2531009,160968,195471
