EmployeeID,PerformanceRating,PromotedFlag,HighPerformerFlag
E0000001,5,0,0
E0000001,4,0,0
E0000001,4,0,0
E0000002,4,0,1
E0000002,4,0,0
E0000002,3,0,0
E0000003,3,0,0
E0000003,4,1,0
E0000003,4,0,0
E0000004,4,0,0
E0000004,4,0,0
E0000004,5,0,1
E0000005,4,0,0
E0000005,3,0,0
E0000005,3,0,0
E0000006,3,0,1
E0000006,3,0,1
E0000006,3,0,0
E0000007,5,0,0
E0000007,3,0,1
E0000007,4,0,0
E0000008,4,0,0
E0000008,2,0,0
E0000008,4,0,0
E0000009,3,1,0
E0000009,4,0,0
E0000009,4,0,0
E0000010,4,0,0
E0000010,3,0,1
E0000010,4,0,0
E0000011,5,0,1
E0000011,2,0,0
E0000011,3,0,0
E0000012,3,1,0
E0000012,4,0,0
E0000012,5,0,0
E0000013,4,0,0
E0000013,3,0,1
E0000013,3,0,0
E0000014,2,0,0
E0000014,2,0,0
E0000014,3,0,0
E0000015,3,0,0
E0000015,5,0,0
E0000015,5,0,0
E0000016,4,0,0
E0000016,2,0,0
E0000016,4,1,0
E0000017,3,0,0
E0000017,4,0,0
E0000017,1,0,0
E0000018,4,0,0
E0000018,4,0,0
E0000018,5,1,0
E0000019,3,0,0
E0000019,4,0,1
E0000019,4,0,0
E0000020,5,0,0
E0000020,4,0,0
E0000020,4,0,0
E0000021,3,0,0
E0000021,4,0,1
E0000021,4,0,0
E0000022,4,0,1
E0000022,3,0,0
E0000022,4,0,0
E0000023,4,0,0
E0000023,4,0,0
E0000023,4,0,0
E0000024,2,1,0
E0000024,4,0,0
E0000024,3,0,0
E0000025,1,0,0
E0000025,4,0,0
E0000025,3,0,0
E0000026,5,0,0
E0000026,1,1,0
E0000026,3,0,0
E0000027,3,0,1
E0000027,3,0,0
E0000027,3,0,0
E0000028,5,0,1
E0000028,3,0,0
E0000028,2,0,0
E0000029,3,0,0
E0000029,5,0,0
E0000029,4,0,0
E0000030,4,0,0
E0000030,3,0,0
E0000030,2,1,0
E0000031,4,0,0
E0000031,5,0,0
E0000031,2,0,1
E0000032,4,0,1
E0000032,4,0,1
E0000032,3,0,0
E0000033,3,0,0
E0000033,3,0,0
E0000033,4,0,0
E0000034,3,0,0
E0000034,4,0,0
E0000034,1,0,0
E0000035,3,0,0
E0000035,2,0,0
E0000035,4,0,0
E0000036,4,0,0
E0000036,5,0,0
E0000036,5,0,0
E0000037,3,0,0
E0000037,3,0,0
E0000037,3,0,0
E0000038,4,0,1
E0000038,2,0,1
E0000038,5,0,0
E0000039,4,0,0
E0000039,4,0,0
E0000039,3,0,0
E0000040,3,0,0
E0000040,4,0,1
E0000040,4,0,0
E0000041,3,0,0
E0000041,3,0,1
E0000041,4,0,0
E0000042,3,0,0
E0000042,5,0,0
E0000042,3,0,0
E0000043,2,0,0
E0000043,3,0,0
E0000043,5,0,0
E0000044,3,0,0
E0000044,3,0,0
E0000044,3,0,0
E0000045,3,0,0
E0000045,3,0,0
E0000045,4,0,0
E0000046,4,0,1
E0000046,2,0,0
E0000046,4,0,0
E0000047,4,1,0
E0000047,3,0,0
E0000047,3,0,1
E0000048,3,0,0
E0000048,4,0,0
E0000048,3,1,0
E0000049,3,1,0
E0000049,3,1,1
E0000049,3,0,0
E0000050,3,0,1
E0000050,5,0,0
E0000050,5,0,0
E0000051,4,0,0
E0000051,4,0,0
E0000051,4,1,0
E0000052,4,0,0
E0000052,5,0,1
E0000052,4,0,0
E0000053,4,0,1
E0000053,4,0,0
E0000053,5,0,0
E0000054,3,0,0
E0000054,4,0,0
E0000054,3,0,0
E0000055,2,0,1
E0000055,4,0,0
E0000055,4,0,0
