EmployeeID,CompletedFlag,CourseCategory
E0000001,1,AI
E0000001,1,Cyber Security
E0000001,1,AI
E0000001,1,Leadership
E0000001,0,SAP
E0000002,1,Data Science
E0000002,1,Soft Skills
E0000002,1,AI
E0000002,1,AI
E0000002,1,Soft Skills
E0000003,1,Cloud
E0000003,1,Soft Skills
E0000003,0,Cloud
E0000003,1,Cloud
E0000003,1,Cloud
E0000004,0,AI
E0000004,1,AI
E0000004,1,AI
E0000004,0,Data Science
E0000004,1,Data Science
E0000005,1,Cyber Security
E0000005,1,Cyber Security
E0000005,1,Cyber Security
E0000005,1,Cloud
E0000005,1,Data Science
E0000006,1,Cloud
E0000006,1,Cloud
E0000006,1,Soft Skills
E0000006,1,SAP
E0000006,0,Leadership
E0000007,1,SAP
E0000007,1,Cloud
E0000007,1,Leadership
E0000007,1,Leadership
E0000007,1,Leadership
E0000008,1,Data Science
E0000008,1,SAP
E0000008,1,Cloud
E0000008,1,AI
E0000008,1,Data Science
E0000009,1,Cloud
E0000009,1,Leadership
E0000009,0,SAP
E0000009,1,Data Science
E0000009,1,AI
E0000010,1,Cyber Security
E0000010,1,Cloud
E0000010,1,Cloud
E0000010,1,SAP
E0000010,1,AI
E0000011,1,SAP
E0000011,1,Cyber Security
E0000011,1,Data Science
E0000011,1,Soft Skills
E0000011,1,AI
E0000012,1,SAP
E0000012,1,Soft Skills
E0000012,1,SAP
E0000012,1,Soft Skills
E0000012,1,Cloud
E0000013,1,Data Science
E0000013,1,SAP
E0000013,1,Cloud
E0000013,1,Cloud
E0000013,1,SAP
E0000014,1,Soft Skills
E0000014,1,Cloud
E0000014,1,Soft Skills
E0000014,0,Cyber Security
E0000014,1,Cloud
E0000015,1,Cyber Security
E0000015,1,Data Science
E0000015,1,AI
E0000015,1,SAP
E0000015,1,Leadership
E0000016,1,SAP
E0000016,1,Data Science
E0000016,0,Cloud
E0000016,1,Cloud
E0000016,1,Data Science
E0000017,1,SAP
E0000017,1,Cyber Security
E0000017,1,Leadership
E0000017,1,AI
E0000017,1,Cyber Security
E0000018,1,Cyber Security
E0000018,0,SAP
E0000018,1,Leadership
E0000018,1,Soft Skills
E0000018,1,Soft Skills
E0000019,1,Cloud
E0000019,1,Data Science
E0000019,1,Leadership
E0000019,1,SAP
E0000019,1,AI
E0000020,0,Cyber Security
E0000020,1,Cloud
E0000020,1,Cyber Security
E0000020,1,Data Science
E0000020,1,Soft Skills
E0000021,0,Cyber Security
E0000021,1,Cyber Security
E0000021,1,AI
E0000021,1,SAP
E0000021,1,Cyber Security
E0000022,1,AI
E0000022,1,Cyber Security
E0000022,1,Data Science
E0000022,1,Cyber Security
E0000022,1,Leadership
E0000023,1,AI
E0000023,1,Leadership
E0000023,1,Cloud
E0000023,1,Cyber Security
E0000023,1,Cloud
E0000024,1,Cloud
E0000024,1,Data Science
E0000024,1,Cyber Security
E0000024,1,AI
E0000024,0,Cyber Security
E0000025,1,Cyber Security
E0000025,0,Data Science
E0000025,1,AI
E0000025,1,Soft Skills
E0000025,1,Leadership
E0000026,1,Leadership
E0000026,1,Cyber Security
E0000026,1,Data Science
E0000026,1,SAP
E0000026,1,AI
E0000027,1,Cyber Security
E0000027,1,Leadership
